postal_code,neighborhood,total_pop,pop_density,diversity_index,avg_hh_income,avg_hh_sz,median_age,bus_estab,no_of_homes,own,rent
85003,Willo Historic District,11936,6183,78.6,66405,1.78,39.2,474,6265,1571,3784
85004,Cooper Square,6199,3069,78.8,63828,1.72,32.3,1206,3660,811,2032
85006,Downtown Phoenix,28021,7127,84.8,41656,2.97,31,468,10691,3211,5954
85007,Downtown Phoenix,15183,3399,86.2,53639,2.68,33.2,420,6119,1865,3152
85008,Camelback East,60792,6085,85.8,49033,2.82,28.7,716,24529,6015,15144
85009,Estrella,57878,3984,85.4,42853,3.87,28.7,1141,15096,5773,6979
85012,Alhambra,7576,3694,65.1,92379,2.08,42.9,994,4326,1740,1861
85013,Alhambra,23224,5876,71.1,71425,2.02,38.5,602,13206,4306,6924
85014,Cheery Lynn Historic District,28238,6976,77.9,65187,2.09,36.1,966,15658,4765,8577
85015,Alhambra,41094,8349,83.6,49938,2.82,32.2,608,17305,5252,9242
85016,Biltmore,39457,4123,74.2,77709,2.1,38.5,2453,21678,8190,10497
85017,Alhambra,42781,8227,87.1,40505,3.42,26.5,719,14814,5087,7200
85018,Arcadia,38221,3826,59.7,101445,2.18,38.3,1675,19465,9166,8304
85019,Alhambra,27998,7506,85.9,45211,3.59,28,301,9154,3955,3844
85020,Sunnyslope,35747,4076,66.7,82854,2.15,43.7,1035,18542,8870,7547
85021,North Mountain,42511,5906,79,69943,2.5,33.2,917,19318,6505,10260
85022,Moon Valley,52406,5144,59.7,75050,2.26,38.8,819,25209,12206,10937
85023,Deer Valley,35410,4725,69,75990,2.54,35.2,582,14805,7807,6121
85024,Desert View,25943,1173,47.5,83072,2.43,35,520,11228,6963,3703
85025,Central City,38221,3826,60,101445,2.18,30.1,7,#N/A,#N/A,#N/A
85026,Camelback East,38221,3826,60,101445,2.18,38.1,5,#N/A,#N/A,#N/A
85027,Deer Valley,38623,3335,60.5,65217,2.47,38.4,1521,17509,8945,6655
85028,Paradise Valley,21020,2007,33.8,116827,2.32,41.9,889,9530,6845,2116
85029,North Mountain,46756,5658,74.4,60189,2.62,38.5,788,19423,8644,9041
85031,Maryvale,32284,7881,85.1,45308,4.1,27.2,273,8876,4179,3689
85032,Paradise Valley,70050,5684,66.4,69888,2.51,41.9,1611,30326,15290,12289
85033,Maryvale,55859,9294,81.1,48496,4.03,27.2,391,16129,7301,6564
85034,Central City,8634,743,84.8,41940,2.33,30.1,1203,4067,558,2757
85035,Maryvale,53344,10087,86.9,44343,3.69,27.2,234,17086,5869,8571
85037,Downtown Phoenix,48994,5683,86.1,61399,3.54,33.3,305,15323,8010,5823
85038,Camelback East,#N/A,#N/A,#N/A,#N/A,#N/A,38.1,5,0,0,0
85039,Maryvale,#N/A,#N/A,#N/A,#N/A,#N/A,27.2,2,0,0,0
85040,South Mountain,33109,3268,91.4,45761,3.37,30.6,1359,11538,4491,5309
85041,Laveen,63733,3935,88.3,64745,3.56,31.5,350,19549,11904,5947
85042,South Mountain,44102,1783,88,68984,3.08,30.6,398,15201,9226,4939
85043,Estrella,34220,1664,87,59095,3.76,26.7,789,10202,5896,3202
85044,Ahwatukee Foothills,41573,4282,58.9,95756,2.23,41.3,975,19654,9980,8584
85045,Ahwatukee Foothills,8160,694,49.5,156774,2.92,41.3,87,2917,2414,379
85046,Paradise Valley,#N/A,#N/A,#N/A,#N/A,#N/A,41.9,9,0,0,0
85048,Ahwatukee Foothills,35876,3485,53.3,127874,2.65,33.3,768,14323,9428,4117
85050,Paradise Valley,31576,2015,40.5,104750,2.59,41.9,734,13176,9161,2965
85051,North Mountain,43960,6906,81.3,55646,2.87,38.5,608,17308,7995,7260
85053,Deer Valley,31007,5836,63.2,64504,2.61,38.4,467,12600,6817,4974
85054,Desert View,8029,684,44.1,94005,1.74,41.5,248,5587,1335,3276
85085,Desert View,24567,742,47.9,110363,2.63,35.6,545,10358,5723,3582
85087,New River,10354,89,38.5,105147,2.67,33.3,107,4084,3130,524
85097,Estrella,#N/A,#N/A,#N/A,#N/A,#N/A,26.7,#N/A,0,0,0
